1/1/2019,New Year's Day*
1/6/2019,Three Kings Day
1/21/2019,"Martin Luther King, Jr.'s Birthday"
2/4/2019,Lunar New Year's Eve
2/5/2019,Lunar New Year
2/12/2019,Lincoln's Birthday
2/18/2019,Washington's Birthday (Pres. Day)
3/6/2019,Ash Wednesday
3/21/2019,Purim
4/18/2019,Holy Thursday
4/19/2019,Good Friday
4/20/2019,Passover (1st/2nd Days)
4/21/2019,Passover (1st/2nd Days)
4/25/2019,Holy Thursday (Orthodox)
4/26/2019,Good Friday (Orthodox)
4/26/2019,Passover (7th/8th Days)
4/27/2019,Passover (7th/8th Days)
5/27/2019,Memorial Day*
5/30/2019,Solemnity of Ascension
6/4/2019,Idul-Fitr(Eid al-Fitr)
6/5/2019,Idul-Fitr(Eid al-Fitr)
6/6/2019,Idul-Fitr(Eid al-Fitr)
6/9/2019,Shavuot (2 Days)
6/10/2019,Shavuot (2 Days)
7/4/2019,Independence Day*
8/11/2019,Idul-Adha(Eid al-Adha)
8/12/2019,Idul-Adha(Eid al-Adha)
8/13/2019,Idul-Adha(Eid al-Adha)
8/15/2019,Feast of the Assumption
9/2/2019,Labor Day*
9/30/2019,Rosh Hashanah
10/1/2019,Rosh Hashanah
10/9/2019,Yom Kippur
10/14/2019,Columbus Day
10/15/2019,Succoth (2 Days)
10/21/2019,Shemini Atzereth
10/22/2019,Simchas Torah
10/27/2019,Diwali
11/1/2019,All Saints Day
11/5/2019,Election Day
11/11/2019,Veterans Day
11/28/2019,Thanksgiving Day*
12/8/2019,Immaculate Conception
12/25/2019,Christmas Day*
